FIRST_SCRAPED_AT_DATE,SCRAPED_AT_DATE,VIN,HEADING,YEAR,MODEL,TRIM,MILES,PRICE,TRANSMISSION,INTERIOR_COLOR,EXTERIOR_COLOR
,2016-06-27,WP0CB2A90HS154983,2017 Porsche 911 Carrera S,2017,911,Carrera S,16,144905,Manual,,blue
2016-09-08,2016-09-08,WP0AA2A97HS106276,2017 PORSCHE 911 Carrera,2017,911,Carrera,10,102900,Manual,black,gt silver metallic
,2016-11-22,WP0AB2A92HS123659,2017 Porsche 911 Carrera S,2017,911,Carrera S,10,138755,Manual,,black
2016-01-06,2016-12-11,WP0AD2A98ES166862,2014 Porsche 911 Turbo S,2014,911,Turbo S,17637,147500,Manual,red/black leather,white
,2016-12-14,WP0AB2A96HS122806,2017 Porsche 911 Carrera 4S,2017,911,Carrera S,15,155965,Manual,,yellow
,2016-12-31,WP0AB2A98HS123715,2017 Porsche 911 Car New,2017,911,Carrera S,12,136425,Manual,black,gt silver
2014-07-14,2016-12-31,WP0CB2A95ES155929,2014 Porsche 911 Carrera S Convertible,2014,911,Carrera S,49915,66900,Manual,carrera red,gt silver metallic
,2017-01-03,WP0AA2A98HS107582,2017 PORSCHE 911 Carrera,2017,911,Carrera,5,109595,Manual,,blue
,2017-01-08,WP0AB2A99HS124081,2017 PORSCHE 911 Carrera S,2017,911,Carrera S,5,135255,Manual,,white
,2017-01-11,WP0BB2A91HS136598,2017 Porsche 911 Targa 4S,2017,911,Targa 4S,16,150270,Manual,,blue
,2017-01-13,WP0BB2A93HS136604,2017 Porsche 911 Targa 4S,2017,911,Targa 4S,10,146235,Manual,,white
,2017-01-22,WP0AA2A90HS107477,2017 PORSCHE 911 Carrera,2017,911,Carrera,9,116330,Manual,black/bordeaux red,jet black metallic
2016-10-31,2017-02-05,WP0AB2A96HS122188,2017 Porsche 911 Carrera S 2 Door Coupe,2017,911,Carrera S,12447,129585,Manual,black,white
,2017-02-15,WP0AF2A94GS192579,2016 Porsche 911,2016,911,GT3 RS,576,287900,Manual,black,riviera blue
,2017-02-15,WP0AF2A94GS192579,2016 Porsche 911,2016,911,GT3 RS,576,279900,Manual,black,riviera blue
,2017-02-17,WP0AB2A95HS122344,2017 Porsche 911 Carrera 4S Coupe,2017,911,Carrera S,864,129950,Manual,black,jet black metallic
2017-02-08,2017-02-25,WP0AB2A95HS122344,Used 2017 Porsche 911 Carrera 4S Coupe,2017,911,Carrera S,864,129950,Manual,black,jet black
,2017-03-05,WP0AA2A93HS106193,2017 Porsche 911 Carrera Coupe,2017,911,Carrera,600,95777,Manual,black,rhodium silver metallic
,2017-03-05,WP0AB2A94HS122237,2017 Porsche 911,2017,911,Carrera,539,111946,Manual,,Racing Yellow
,2017-03-08,WP0AA2A9XHS107406,"2017 Porsche 911 Carrera MSRP: $108,435 Advertised Price: Call For Price",2017,911,Carrera,8,108435,Manual,,
,2017-03-08,WP0AB2A94HS123954,"2017 Porsche 911 Carrera S MSRP: $127,395 Advertised Price: Call For Price",2017,911,Carrera S,11,127395,Manual,,
,2017-03-15,WP0AA2A98HS107789,2017 Porsche 911 CARRERA COUPE Coupe,2017,911,Carrera,10,107300,Manual,,
,2017-03-15,WP0AB2A9XHS124235,2017 Porsche 911 CARRERA COUPE Coupe,2017,911,Carrera S,157,137905,Manual,,
2017-02-28,2017-03-19,WP0AA2A92FS106232,2015 Porsche 911 Carrera Coupe,2015,911,Carrera,18123,75495,Manual,black,rhodium silver metallic
,2017-03-29,WP0CB2A91HS155897,New 2017 Porsche 911 Carrera S Cabriolet,2017,911,Carrera S,58,139729,Manual,black,yellow
,2017-03-30,WP0AA2A92HS107853,2017 Porsche 911,2017,911,Carrera,5,104940,Manual,,black
2017-03-29,2017-03-30,WP0AA2A92HS107853,2017 Porsche 911,2017,911,Carrera,5,104940,Manual,,black
2013-11-09,2017-03-30,WP0CB2A9XCS754452,2012 Porsche 911 Carrera GTS Cabriolet Coupe,2012,911,Carrera GTS,10516,78500,Manual,carrera red,basalt black metallic
,2017-04-02,WP0AA2A99GS106360,2016 Porsche 911 Carrera 4 Coupe,2016,911,Carrera,3344,96900,Manual,espresso,lava orange
,2017-04-05,WP0CB2A92HS155679,2017 Porsche 911 CARRERA CABRIOLET Convertible,2017,911,Carrera S,11,144865,Manual,,0q/white
,2017-04-11,WP0AF2A99GS187149,2016 Porsche 911,2016,911,GT3 RS,2300,242500,Manual,,white
,2017-04-12,WP0AA2A94GS106654,Used 2016 Porsche 911 2dr Cpe Carrera,2016,911,Carrera,1707,84975,Manual,,black
,2017-04-13,WP0AA2A9XHS106238,New 2017 Porsche 911 Carrera Coupe,2017,911,Carrera,106238,109245,Manual,black,silver metallic
,2017-04-13,WP0CA2A95HS141259,New 2017 Porsche 911 Carrera Cabriolet,2017,911,Carrera,141259,120185,Manual,luxor beige,jet black metallic
,2017-04-13,WP0CB2A94HS154338,New 2017 Porsche 911 Carrera S Cabriolet,2017,911,Carrera S,154338,135550,Manual,luxor beige,guards red
,2017-04-13,WP0CB2A99HS154271,New 2017 Porsche 911 Carrera S Cabriolet,2017,911,Carrera S,154271,137035,Manual,black,white
,2017-04-21,WP0AA2A97HS106388,New 2017 Porsche 911 Carrera,2017,911,Carrera,183,113140,Manual,black,guards red
2016-04-22,2017-04-22,WP0CA2A96ES140925,2014 Porsche 911,2014,911,Carrera,46351,66850,Manual,black,black
,2017-05-04,WP0AD2A97ES166173,2014 Porsche 911 Turbo S Coupe,2014,911,Turbo S,16823,136995,Manual,black,basalt black metallic
,2017-05-04,WP0CA2A96CS740129,"2012 Porsche 911 4 PDK~Navi ~Lipstick Red!! V AWD WideBody $118,255 MSRP!!",2012,911,Carrera,41248,52995,Manual,carrera red,carrara white
2014-01-10,2017-05-04,WP0CB2A95ES155140,2014 Porsche 911 Carrera 4S Cabriolet,2014,911,Carrera S,15983,94995,Manual,espresso/cognac,white
,2017-05-04,WP0CB2A97DS155462,2013 Porsche 911 Carrera S Cabriolet,2013,911,Carrera S,23711,79995,Manual,black,guards red
,2017-05-06,WP0AA2A97HS106116,2017 Porsche 911 Carrera,2017,911,Carrera,2705,112000,Manual,leather interior in black,racing yellow
,2017-05-06,WP0AC2A94ES183256,2014 Porsche 911 GT3 Coupe,2014,911,GT3,18000,124920,Manual,black,white
,2017-05-07,WP0AA2A97HS106911,2017 Porsche 911 Carrera,2017,911,Carrera,833,89991,Manual,black,racing yellow
,2017-05-09,WP0AB2A90HS124390,2017 Porsche 911 Carrera 4S Coupe,2017,911,Carrera S,10,149830,Manual,black,gt silver metallic
,2017-05-09,WP0AB2A90HS124406,2017 Porsche 911 Carrera S Coupe,2017,911,Carrera S,9,135395,Manual,black/luxor beige,night blue metallic
,2017-05-09,WP0AB2A99HS123934,2017 Porsche 911 Carrera S Coupe,2017,911,Carrera S,8,130800,Manual,black,jet black metallic
,2017-05-09,WP0AB2A9XHS123327,2017 Porsche 911 Carrera S Coupe,2017,911,Carrera S,14,161950,Manual,black,voodoo blue
,2017-05-09,WP0CB2A96HS155748,2017 Porsche 911 Carrera S Convertible,2017,911,Carrera S,10,142440,Manual,graphite blue/chalk,night blue metallic
